creating new summary file
creating new summary file
start at epoch 0
downscale epochs: [35], downscale rate: 5.0
setting learning rate to 0.001
  0%|          | 0/28 [00:00<?, ?it/s]  4%|▎         | 1/28 [00:02<01:14,  2.76s/it]  7%|▋         | 2/28 [00:02<00:32,  1.26s/it] 14%|█▍        | 4/28 [00:03<00:12,  1.93it/s] 18%|█▊        | 5/28 [00:03<00:13,  1.74it/s] 25%|██▌       | 7/28 [00:04<00:07,  2.77it/s] 29%|██▊       | 8/28 [00:04<00:06,  3.02it/s] 32%|███▏      | 9/28 [00:05<00:10,  1.74it/s] 39%|███▉      | 11/28 [00:05<00:06,  2.69it/s] 43%|████▎     | 12/28 [00:06<00:07,  2.26it/s] 46%|████▋     | 13/28 [00:07<00:08,  1.86it/s] 54%|█████▎    | 15/28 [00:07<00:04,  2.90it/s] 57%|█████▋    | 16/28 [00:08<00:06,  1.93it/s] 61%|██████    | 17/28 [00:08<00:05,  1.99it/s] 68%|██████▊   | 19/28 [00:09<00:03,  2.99it/s] 71%|███████▏  | 20/28 [00:10<00:03,  2.08it/s] 75%|███████▌  | 21/28 [00:11<00:04,  1.73it/s] 82%|████████▏ | 23/28 [00:11<00:01,  2.73it/s] 86%|████████▌ | 24/28 [00:11<00:01,  2.35it/s] 89%|████████▉ | 25/28 [00:12<00:01,  1.62it/s] 96%|█████████▋| 27/28 [00:13<00:00,  2.60it/s]100%|██████████| 28/28 [00:13<00:00,  2.79it/s]100%|██████████| 28/28 [00:13<00:00,  2.09it/s]errors evaluate disparity:
 abs_rel: 0.5163108227508408, rmse: 1.520705214568547, sq_rel: 0.9840960130095482, rmse_log: 0.49576074204274584, a1: 0.3876925, a2: 0.6740760714285712, a3:0.95068
MAX epoch 0 total test error = 0.51631
downscale epochs: [35], downscale rate: 5.0
setting learning rate to 0.001

Epoch 1/100, Iter 0/164, train loss = 0.012, time = 0.090
Epoch 1/100, Iter 1/164, train loss = 0.031, time = 0.082
Epoch 1/100, Iter 2/164, train loss = 0.014, time = 0.093
Epoch 1/100, Iter 3/164, train loss = 0.013, time = 0.095
Epoch 1/100, Iter 4/164, train loss = 0.017, time = 0.098
Epoch 1/100, Iter 5/164, train loss = 0.008, time = 0.100
Epoch 1/100, Iter 6/164, train loss = 0.011, time = 0.095
Epoch 1/100, Iter 7/164, train loss = 0.004, time = 0.092
Epoch 1/100, Iter 8/164, train loss = 0.047, time = 0.105
Epoch 1/100, Iter 9/164, train loss = 0.013, time = 0.093
Epoch 1/100, Iter 10/164, train loss = 0.016, time = 0.094
Epoch 1/100, Iter 11/164, train loss = 0.014, time = 0.105
Epoch 1/100, Iter 12/164, train loss = 0.006, time = 0.096
Epoch 1/100, Iter 13/164, train loss = 0.003, time = 0.103
Epoch 1/100, Iter 14/164, train loss = 0.014, time = 0.102
Epoch 1/100, Iter 15/164, train loss = 0.011, time = 0.096
Epoch 1/100, Iter 16/164, train loss = 0.015, time = 0.096
Epoch 1/100, Iter 17/164, train loss = 0.048, time = 0.097
Epoch 1/100, Iter 18/164, train loss = 0.021, time = 0.093
Epoch 1/100, Iter 19/164, train loss = 0.009, time = 0.095
Epoch 1/100, Iter 20/164, train loss = 0.038, time = 0.097
Epoch 1/100, Iter 21/164, train loss = 0.007, time = 0.096
Epoch 1/100, Iter 22/164, train loss = 0.011, time = 0.105
Epoch 1/100, Iter 23/164, train loss = 0.015, time = 0.096
Epoch 1/100, Iter 24/164, train loss = 0.007, time = 0.093
Epoch 1/100, Iter 25/164, train loss = 0.012, time = 0.094
Epoch 1/100, Iter 26/164, train loss = 0.014, time = 0.084
Epoch 1/100, Iter 27/164, train loss = 0.003, time = 0.087
Epoch 1/100, Iter 28/164, train loss = 0.008, time = 0.089
Epoch 1/100, Iter 29/164, train loss = 0.016, time = 0.095
Epoch 1/100, Iter 30/164, train loss = 0.016, time = 0.094
Epoch 1/100, Iter 31/164, train loss = 0.020, time = 0.093
Epoch 1/100, Iter 32/164, train loss = 0.008, time = 0.108
Epoch 1/100, Iter 33/164, train loss = 0.012, time = 0.094
Epoch 1/100, Iter 34/164, train loss = 0.019, time = 0.092
Epoch 1/100, Iter 35/164, train loss = 0.015, time = 0.100
Epoch 1/100, Iter 36/164, train loss = 0.003, time = 0.104
Epoch 1/100, Iter 37/164, train loss = 0.004, time = 0.092
Epoch 1/100, Iter 38/164, train loss = 0.080, time = 0.096
Epoch 1/100, Iter 39/164, train loss = 0.002, time = 0.093
Epoch 1/100, Iter 40/164, train loss = 0.001, time = 0.095
Epoch 1/100, Iter 41/164, train loss = 0.009, time = 0.095
Epoch 1/100, Iter 42/164, train loss = 0.008, time = 0.103
Epoch 1/100, Iter 43/164, train loss = 0.014, time = 0.095
Epoch 1/100, Iter 44/164, train loss = 0.003, time = 0.095
Epoch 1/100, Iter 45/164, train loss = 0.008, time = 0.096
Epoch 1/100, Iter 46/164, train loss = 0.026, time = 0.110
Epoch 1/100, Iter 47/164, train loss = 0.008, time = 0.095
Epoch 1/100, Iter 48/164, train loss = 0.006, time = 0.094
Epoch 1/100, Iter 49/164, train loss = 0.062, time = 0.099
Epoch 1/100, Iter 50/164, train loss = 0.029, time = 0.096
Epoch 1/100, Iter 51/164, train loss = 0.046, time = 0.095
Epoch 1/100, Iter 52/164, train loss = 0.007, time = 0.096
Epoch 1/100, Iter 53/164, train loss = 0.012, time = 0.097
Epoch 1/100, Iter 54/164, train loss = 0.010, time = 0.105
Epoch 1/100, Iter 55/164, train loss = 0.008, time = 0.101
Epoch 1/100, Iter 56/164, train loss = 0.009, time = 0.094
Epoch 1/100, Iter 57/164, train loss = 0.006, time = 0.096
Epoch 1/100, Iter 58/164, train loss = 0.012, time = 0.097
Epoch 1/100, Iter 59/164, train loss = 0.043, time = 0.096
Epoch 1/100, Iter 60/164, train loss = 0.005, time = 0.092
Epoch 1/100, Iter 61/164, train loss = 0.013, time = 0.099
Epoch 1/100, Iter 62/164, train loss = 0.010, time = 0.096
Epoch 1/100, Iter 63/164, train loss = 0.036, time = 0.092
Epoch 1/100, Iter 64/164, train loss = 0.010, time = 0.106
Epoch 1/100, Iter 65/164, train loss = 0.010, time = 0.096
Epoch 1/100, Iter 66/164, train loss = 0.013, time = 0.094
Epoch 1/100, Iter 67/164, train loss = 0.006, time = 0.094
Epoch 1/100, Iter 68/164, train loss = 0.007, time = 0.100
Epoch 1/100, Iter 69/164, train loss = 0.009, time = 0.109
Epoch 1/100, Iter 70/164, train loss = 0.030, time = 0.101
Epoch 1/100, Iter 71/164, train loss = 0.003, time = 0.093
Epoch 1/100, Iter 72/164, train loss = 0.069, time = 0.107
Epoch 1/100, Iter 73/164, train loss = 0.019, time = 0.098
Epoch 1/100, Iter 74/164, train loss = 0.008, time = 0.101
Epoch 1/100, Iter 75/164, train loss = 0.017, time = 0.100
Epoch 1/100, Iter 76/164, train loss = 0.082, time = 0.095
Epoch 1/100, Iter 77/164, train loss = 0.014, time = 0.102
Epoch 1/100, Iter 78/164, train loss = 0.009, time = 0.097
Epoch 1/100, Iter 79/164, train loss = 0.006, time = 0.094
Epoch 1/100, Iter 80/164, train loss = 0.007, time = 0.093
Epoch 1/100, Iter 81/164, train loss = 0.021, time = 0.099
Epoch 1/100, Iter 82/164, train loss = 0.002, time = 0.096
Epoch 1/100, Iter 83/164, train loss = 0.008, time = 0.095
Epoch 1/100, Iter 84/164, train loss = 0.009, time = 0.094
Epoch 1/100, Iter 85/164, train loss = 0.004, time = 0.094
Epoch 1/100, Iter 86/164, train loss = 0.006, time = 0.095
Epoch 1/100, Iter 87/164, train loss = 0.022, time = 0.093
Epoch 1/100, Iter 88/164, train loss = 0.006, time = 0.097
Epoch 1/100, Iter 89/164, train loss = 0.013, time = 0.095
Epoch 1/100, Iter 90/164, train loss = 0.024, time = 0.097
Epoch 1/100, Iter 91/164, train loss = 0.025, time = 0.096
Epoch 1/100, Iter 92/164, train loss = 0.013, time = 0.110
Epoch 1/100, Iter 93/164, train loss = 0.010, time = 0.093
Epoch 1/100, Iter 94/164, train loss = 0.007, time = 0.095
Epoch 1/100, Iter 95/164, train loss = 0.007, time = 0.093
Epoch 1/100, Iter 96/164, train loss = 0.009, time = 0.110
Epoch 1/100, Iter 97/164, train loss = 0.002, time = 0.093
Epoch 1/100, Iter 98/164, train loss = 0.004, time = 0.099
Epoch 1/100, Iter 99/164, train loss = 0.011, time = 0.094
Epoch 1/100, Iter 100/164, train loss = 0.009, time = 0.088
Epoch 1/100, Iter 101/164, train loss = 0.014, time = 0.094
Epoch 1/100, Iter 102/164, train loss = 0.010, time = 0.107
Epoch 1/100, Iter 103/164, train loss = 0.008, time = 0.096
Epoch 1/100, Iter 104/164, train loss = 0.012, time = 0.095
Epoch 1/100, Iter 105/164, train loss = 0.002, time = 0.096
Epoch 1/100, Iter 106/164, train loss = 0.009, time = 0.096
Epoch 1/100, Iter 107/164, train loss = 0.014, time = 0.101
Epoch 1/100, Iter 108/164, train loss = 0.015, time = 0.094
Epoch 1/100, Iter 109/164, train loss = 0.014, time = 0.094
Epoch 1/100, Iter 110/164, train loss = 0.001, time = 0.116
Epoch 1/100, Iter 111/164, train loss = 0.004, time = 0.093
Epoch 1/100, Iter 112/164, train loss = 0.062, time = 0.097
Epoch 1/100, Iter 113/164, train loss = 0.018, time = 0.096
Epoch 1/100, Iter 114/164, train loss = 0.017, time = 0.094
Epoch 1/100, Iter 115/164, train loss = 0.011, time = 0.096
